EMPRESA,Empresa,Prefixo,Litros
27,Pernambuco,0002496,188.98
27,Pernambuco,0002497,231.139
27,Pernambuco,0002498,215.699
27,Pernambuco,0002499,209.26
27,Pernambuco,0002502,221.03
27,Pernambuco,0002504,423.24
27,Pernambuco,0002505,305.6
27,Pernambuco,0002506,305.44
27,Pernambuco,0002507,295
27,Pernambuco,0002508,265.5
27,Pernambuco,0002509,251.96
27,Pernambuco,0002510,259.36
27,Pernambuco,0002511,233.39
27,Pernambuco,0002512,234.44
27,Pernambuco,0002513,300.89
27,Pernambuco,0002514,261.05
27,Pernambuco,0002515,255.419
27,Pernambuco,0002516,269.22
27,Pernambuco,0002517,274.92
27,Pernambuco,0002518,291.77
27,Pernambuco,0002519,246.92
27,Pernambuco,0002520,287.2
27,Pernambuco,0002521,236.969
27,Pernambuco,0002522,247.16
27,Pernambuco,0002523,277.4
27,Pernambuco,0002701,129.259
27,Pernambuco,0002704,136.69
27,Pernambuco,0002706,177.5
27,Pernambuco,0002707,145.08
27,Pernambuco,0002708,149
27,Pernambuco,0002710,157.91
27,Pernambuco,0002716,201.62
27,Pernambuco,0002718,193.31
27,Pernambuco,0002719,224.37
27,Pernambuco,0002722,179.12
27,Pernambuco,0002725,159.919
27,Pernambuco,0002726,214.379
27,Pernambuco,0002727,158.069
27,Pernambuco,0002728,210.3
27,Pernambuco,0002729,232.04
27,Pernambuco,0002730,176.979
27,Pernambuco,0002731,183.3
27,Pernambuco,0002732,191.1
27,Pernambuco,0002733,231.02
27,Pernambuco,0002739,180
27,Pernambuco,0002801,193.3
27,Pernambuco,0002802,192.03
27,Pernambuco,0002803,195.199
27,Pernambuco,0002804,269.759
27,Pernambuco,0002805,212.77
27,Pernambuco,0002806,148.06
27,Pernambuco,0002807,147.509
27,Pernambuco,0002808,217.62
27,Pernambuco,0002809,141.55
27,Pernambuco,0002810,128.05
27,Pernambuco,0002811,154.979
27,Pernambuco,0002812,142.64
27,Pernambuco,0002813,244.11
27,Pernambuco,0002814,153.43
27,Pernambuco,0002815,128.03
27,Pernambuco,0002816,177.729
27,Pernambuco,0002817,171.1
27,Pernambuco,0002818,146.46
27,Pernambuco,0002819,163.2
27,Pernambuco,0002820,194.139
27,Pernambuco,0002821,140.5
27,Pernambuco,0002822,143.59
27,Pernambuco,0002823,153.259
27,Pernambuco,0002824,177.449
27,Pernambuco,0002825,146.11
27,Pernambuco,0002826,194.02
27,Pernambuco,0002827,129.26
27,Pernambuco,0002828,145.83
27,Pernambuco,0002829,140.58
27,Pernambuco,0002830,197.439
27,Pernambuco,0002901,151.13
27,Pernambuco,0002902,156.61
27,Pernambuco,0002903,163.55
27,Pernambuco,0002904,145.32
27,Pernambuco,0002905,164.93
27,Pernambuco,0002906,180.539
