HAS_DATA;PREFIXO;EMPRESA;HAS_QTD_LITROS;Tratando_Recalcula;Verifica_QTD_LITROS;HAS_ENCERRANTE_DEPOIS;HAS_ENCERRANTE_ANTES;Recalcula_QTD_LITROS;TANQUE;TER_DATA_ULTIMA_COMUNIC;TER_CODIGO;TER_IDENTIFICACAO_EMPRESA;BOM_CODIGO;CAR_CODIGO_ABASTECEDOR;VEI_CODIGO;VEI_OBSERVACAO;USU_CODIGO;HAS_ODOMETRO;KM_ANT;KM_PERCO
19/01/2025;0063341;21;76;0;ERRO;null;null;null;600;03/07/2025 08:00;3;2;52;4115;2047;FZF-1844;96;519682;519571;111
19/01/2025;0063356;21;92;71;ERRO;26260959;26260888;71;600;03/07/2025 08:00;1;1;1;null;2092;EZX-2882;null;467901;467754;147
19/01/2025;0006307;21;715;0;ERRO;null;null;null;800;03/07/2025 08:00;1;1;51;4114;2278;FYS-1793;81;258741;258741;0
19/01/2025;0063432;21;85;58;ERRO;14560419;14560361;58;600;03/07/2025 07:59;2;3;4;null;2290;GGE-5973;null;219118;218987;131
19/01/2025;0063367;21;91;0;ERRO;null;null;null;600;03/07/2025 08:00;3;2;52;4115;2199;EEY-5977;96;457387;457244;143
19/01/2025;0063650;21;220;0;ERRO;null;null;null;500;03/07/2025 07:59;109;10;43;2751;2525;DRL-9B71;112;259122;258747;375
19/01/2025;0064304;21;190;0;ERRO;null;null;null;300;03/07/2025 07:59;109;10;43;2751;2597;null;112;126027;125746;281
19/01/2025;0063665;21;167;99;ERRO;10504385;10504286;99;500;03/07/2025 08:00;1;1;51;4114;2552;GDJ-6C23;81;210217;210217;0
;;;;;;;;;;;;;;;;;;;;
20/01/2025;0063694;21;250;0;ERRO;null;null;null;250;03/07/2025 07:59;109;10;43;2751;106;DTE-1668 TREINAM;112;359230;358975;255
20/01/2025;0063040;21;117;85;ERRO;26268085;26268000;85;600;03/07/2025 08:00;1;1;1;null;1596;FDC-2846;null;676824;676712;112
20/01/2025;0063048;21;105;33;ERRO;26264827;26264794;33;600;03/07/2025 08:00;1;1;1;null;1553;FUQ-8295;null;630126;630126;0
20/01/2025;0063015;21;98;45;ERRO;25197808;25197763;45;600;03/07/2025 08:00;3;2;8;null;1535;FOR-6115;null;609176;608941;235
20/01/2025;0063022;21;72;21;ERRO;20103860;20103839;21;600;03/07/2025 08:00;3;2;9;null;1542;FXR-2336;null;767481;767481;0
20/01/2025;0063029;21;183;128;ERRO;25197589;25197462;128;600;03/07/2025 08:00;3;2;8;null;1549;FOS-2990;null;806372;806150;222
20/01/2025;0063001;21;214;129;ERRO;20106886;20106757;129;500;03/07/2025 08:00;3;2;9;null;1521;FOJ-0886;null;838565;838319;246
20/01/2025;0063009;21;59;16;ERRO;26274226;26274210;16;600;03/07/2025 08:00;1;1;1;null;1529;FCU-7900;null;711302;711302;0
20/01/2025;0063013;21;42;8;ERRO;20101374;20101366;8;600;03/07/2025 08:00;3;2;9;2676;1533;FDG-4755;60;755745;755745;0
