Prefixo;Tipo_Frota;Empresa;Tanque
2409;BÁSICO C/ AR SUSP AR - PE;Pernambuco;450
2410;BÁSICO C/ AR SUSP AR - PE;Pernambuco;450
2411;BÁSICO C/ AR SUSP AR - PE;Pernambuco;450
2412;ARTICULADO C/ AR - PE;Pernambuco;450
2413;BÁSICO C/ AR SUSP AR - PE;Pernambuco;450
2414;BÁSICO C/ AR SUSP AR - PE;Pernambuco;450
2415;BÁSICO C/ AR SUSP AR - PE;Pernambuco;450
2418;ARTICULADO C/ AR - PE;Pernambuco;300
2419;BÁSICO C/ AR SUSP AR - PE;Pernambuco;450
2421;BÁSICO C/ AR SUSP AR - PE;Pernambuco;450
2423;BÁSICO C/ AR SUSP AR - PE;Pernambuco;450
2425;BÁSICO C/ AR SUSP AR - PE;Pernambuco;450
2426;ARTICULADO C/ AR - PE;Pernambuco;300
2428;ARTICULADO C/ AR - PE;Pernambuco;300
2430;BÁSICO C/ AR SUSP AR - PE;Pernambuco;450
2431;BÁSICO C/ AR SUSP AR - PE;Pernambuco;450
2432;ARTICULADO C/ AR - PE;Pernambuco;300
2433;BÁSICO C/ AR SUSP AR - PE;Pernambuco;450
2434;ARTICULADO C/ AR - PE;Pernambuco;300
2438;ARTICULADO C/ AR - PE;Pernambuco;300
2441;ARTICULADO C/ AR - PE;Pernambuco;300
2442;ARTICULADO C/ AR - PE;Pernambuco;300
2443;ARTICULADO C/ AR - PE;Pernambuco;300
2448;ARTICULADO C/ AR - PE;Pernambuco;300
2451;ARTICULADO C/ AR - PE;Pernambuco;300
2454;ARTICULADO C/ AR - PE;Pernambuco;450
2457;BRT;Pernambuco;400
2458;BÁSICO C/ AR SUSP AR - PE;Pernambuco;400
2459;BÁSICO C/ AR SUSP AR - PE;Pernambuco;450
2460;BÁSICO C/ AR SUSP AR - PE;Pernambuco;450
2461;BÁSICO C/ AR SUSP AR - PE;Pernambuco;400
2462;BÁSICO C/ AR SUSP AR - PE;Pernambuco;450
2463;BÁSICO C/ AR SUSP AR - PE;Pernambuco;450
2464;BÁSICO C/ AR SUSP AR - PE;Pernambuco;430
2465;BÁSICO C/ AR SUSP AR - PE;Pernambuco;300
2466;BÁSICO C/ AR SUSP AR - PE;Pernambuco;400
2467;BÁSICO C/ AR SUSP AR - PE;Pernambuco;400
2468;BÁSICO C/ AR SUSP AR - PE;Pernambuco;450
2469;BÁSICO C/ AR SUSP AR - PE;Pernambuco;450
2470;BÁSICO C/ AR SUSP AR - PE;Pernambuco;400
2471;BÁSICO C/ AR SUSP AR - PE;Pernambuco;450
2472;BÁSICO C/ AR SUSP AR - PE;Pernambuco;400
2473;BÁSICO C/ AR SUSP AR - PE;Pernambuco;450
2474;BÁSICO C/ AR SUSP AR - PE;Pernambuco;400
2475;BÁSICO C/ AR SUSP AR - PE;Pernambuco;400
2476;ARTICULADO C/ AR - PE;Pernambuco;300
2479;ARTICULADO C/ AR - PE;Pernambuco;300
2480;ARTICULADO C/ AR - PE;Pernambuco;300
2482;ARTICULADO C/ AR - PE;Pernambuco;300
2490;ARTICULADO C/ AR - PE;Pernambuco;300
2491;ARTICULADO C/ AR - PE;Pernambuco;300
2492;ARTICULADO C/ AR - PE;Pernambuco;300
2493;ARTICULADO C/ AR - PE;Pernambuco;300
2495;ARTICULADO C/ AR - PE;Pernambuco;300
2496;ARTICULADO C/ AR - PE;Pernambuco;300
2497;ARTICULADO C/ AR - PE;Pernambuco;350
2498;ARTICULADO C/ AR - PE;Pernambuco;300
2499;ARTICULADO C/ AR - PE;Pernambuco;300
2502;ARTICULADO C/ AR - PE;Pernambuco;300
2504;ARTICULADO C/ AR - PE;Pernambuco;500
2505;ARTICULADO C/ AR - PE;Pernambuco;500
2506;ARTICULADO C/ AR - PE;Pernambuco;550
2507;ARTICULADO C/ AR - PE;Pernambuco;550
2508;ARTICULADO C/ AR - PE;Pernambuco;500
2509;ARTICULADO C/ AR - PE;Pernambuco;550
2510;ARTICULADO C/ AR - PE;Pernambuco;500
2511;ARTICULADO C/ AR - PE;Pernambuco;500
2512;ARTICULADO C/ AR - PE;Pernambuco;550
2513;ARTICULADO C/ AR - PE;Pernambuco;550
2514;ARTICULADO C/ AR - PE;Pernambuco;550
2515;ARTICULADO C/ AR - PE;Pernambuco;500
2516;ARTICULADO C/ AR - PE;Pernambuco;550
2517;ARTICULADO C/ AR - PE;Pernambuco;550
2518;ARTICULADO C/ AR - PE;Pernambuco;550
2519;ARTICULADO C/ AR - PE;Pernambuco;500
2520;ARTICULADO C/ AR - PE;Pernambuco;550
2521;ARTICULADO C/ AR - PE;Pernambuco;550
2522;ARTICULADO C/ AR - PE;Pernambuco;550
2523;ARTICULADO C/ AR - PE;Pernambuco;550
2701;BÁSICO - PE;Pernambuco;300
2704;BÁSICO - PE;Pernambuco;300
2706;BÁSICO - PE;Pernambuco;300
2707;BÁSICO - PE;Pernambuco;300
2708;BÁSICO - PE;Pernambuco;300
2710;BÁSICO - PE;Pernambuco;300
2716;BÁSICO - PE;Pernambuco;300
2718;BÁSICO - PE;Pernambuco;300
2719;BÁSICO - PE;Pernambuco;300
2722;BÁSICO - PE;Pernambuco;300
2725;BÁSICO - PE;Pernambuco;300
2726;BÁSICO C/ AR - PE;Pernambuco;300
2727;BÁSICO C/ AR - PE;Pernambuco;300
2728;BÁSICO C/ AR - PE;Pernambuco;300
2729;BÁSICO C/ AR - PE;Pernambuco;300
2730;BÁSICO C/ AR - PE;Pernambuco;300
2731;BÁSICO C/ AR - PE;Pernambuco;300
2732;BÁSICO C/ AR - PE;Pernambuco;300
2733;BÁSICO C/ AR - PE;Pernambuco;300
2739;BÁSICO C/ AR - PE;Pernambuco;300
2801;BÁSICO - PE;Pernambuco;300
2802;BÁSICO - PE;Pernambuco;300
2803;BÁSICO - PE;Pernambuco;300
2804;BÁSICO - PE;Pernambuco;300
2805;BÁSICO - PE;Pernambuco;300
2806;BÁSICO - PE;Pernambuco;300
2807;BÁSICO - PE;Pernambuco;300
2808;BÁSICO - PE;Pernambuco;300
2809;BÁSICO - PE;Pernambuco;300
2810;BÁSICO - PE;Pernambuco;300
2811;BÁSICO - PE;Pernambuco;300
2812;BÁSICO - PE;Pernambuco;300
2813;BÁSICO - PE;Pernambuco;300
2814;BÁSICO - PE;Pernambuco;300
2815;BÁSICO - PE;Pernambuco;300
2816;BÁSICO - PE;Pernambuco;300
2817;BÁSICO - PE;Pernambuco;300
2818;BÁSICO - PE;Pernambuco;300
2819;BÁSICO - PE;Pernambuco;300
2820;BÁSICO - PE;Pernambuco;300
2821;BÁSICO - PE;Pernambuco;300
2822;BÁSICO - PE;Pernambuco;300
2823;BÁSICO - PE;Pernambuco;300
2824;BÁSICO - PE;Pernambuco;300
2825;BÁSICO - PE;Pernambuco;300
2826;BÁSICO - PE;Pernambuco;300
2827;BÁSICO - PE;Pernambuco;300
2828;BÁSICO - PE;Pernambuco;300
2829;BÁSICO - PE;Pernambuco;300
2830;BÁSICO - PE;Pernambuco;300
2901;BÁSICO C/ AR SUSP AR - PE;Pernambuco;300
